date,aircraft_model,location,country,source_url
"20th December, 2003",Boeing,"Navegantes, Brazil",Brazil,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"22nd November, 2003",Boeing,"Lagos, Nigeria",Nigeria,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"8th July, 2003",Boeing,"Port Sudan, Sudan",Sudan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"6th March, 2003",Boeing,"Tamanrasset, Algeria",Algeria,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"26th January, 2003",Boeing,"Rio Branco, Brazil",Brazil,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"26th July, 2002",Boeing,"Tallahassee, Florida, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"4th July, 2002",Boeing,"Bangui, Central African Republic",Central African Republic,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"1st July, 2002",Boeing,"Ueberlingen, Germany",Germany,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"25th May, 2002",Boeing,"off Penghu, Taiwan",Taiwan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"7th May, 2002",Boeing,"Tunis, Tunisia",Tunisia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"15th April, 2002",Boeing,"Pusan, South Korea",South Korea,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"28th January, 2002",Boeing,"Cumbal Volcano, Colombia",Colombia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"16th January, 2002",Boeing,"Klaten, Indonesia",Indonesia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"27th November, 2001",Boeing,"Port Harcourt, Nigeria",Nigeria,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"11th September, 2001",Boeing,"Shanksville, PA, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"11th September, 2001",Boeing,"New York, NY, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"11th September, 2001",Boeing,"New York, NY, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"11th September, 2001",Boeing,"Washington, D.C, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"23rd August, 2001",Boeing,"Kuala Lumpur, Malaysia",Malaysia,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"3rd March, 2001",Boeing,"Bangkok, Thailand",Thailand,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th November, 2000",Boeing,"Paris, France",France,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"31st October, 2000",Boeing,"Taipei, Taiwan",Taiwan,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"17th July, 2000",Boeing,"Patna, India",India,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"19th April, 2000",Boeing,"Davao, Philippines",Philippines,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"5th March, 2000",Boeing,"Burbank, California, USA",United States,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"27th February, 2000",Boeing,"Porto Alegre, Brazil",Brazil,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"23rd February, 2000",Boeing,"Harare, Zimbabwe",Zimbabwe,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
"3rd February, 2000",Boeing,"Mwanza, Tanzania",Tanzania,https://www.1001crash.com/transport-page-plane_database-lg-2-aviation-boeing-plane-accident-aeronautical-history.html
